text,emoji,label,injection_type
i was wrong for yelling at you earlier.,😞,Apologise,Consonant
i was wrong for yelling at you earlier.,👋,Apologise,Dissonant
okay.,,Acknowledge,Plain
okay.,🔥,Acknowledge,Consonant
okay.,🙄,Acknowledge,Dissonant
"so if you wanted to, like, go over there and really give it to her, that would be fine.",,Advise,Plain
"so if you wanted to, like, go over there and really give it to her, that would be fine.",👍,Advise,Consonant
"so if you wanted to, like, go over there and really give it to her, that would be fine.",😐,Advise,Dissonant
"obviously, don't hit her, but if you wanted to shake her a little, that would be cool.",,Advise,Plain
"obviously, don't hit her, but if you wanted to shake her a little, that would be cool.",🔥,Advise,Consonant
"obviously, don't hit her, but if you wanted to shake her a little, that would be cool.",😐,Advise,Dissonant
i'm not gonna shake a little girl.,,Oppose,Plain
i'm not gonna shake a little girl.,😞,Oppose,Consonant
i'm not gonna shake a little girl.,😇,Oppose,Dissonant
"no, no, i'm her mom. i'm not gonna report it.",,Explain,Plain
"no, no, i'm her mom. i'm not gonna report it.",😞,Explain,Consonant
"no, no, i'm her mom. i'm not gonna report it.",👋,Explain,Dissonant
it's a can.,,Introduce,Plain
it's a can.,🙌,Introduce,Consonant
it's a can.,💀,Introduce,Dissonant
"sure, yeah, yeah, it's a can, we don't really organize things here by shape.",,Explain,Plain
"sure, yeah, yeah, it's a can, we don't really organize things here by shape.",🤦,Explain,Consonant
"sure, yeah, yeah, it's a can, we don't really organize things here by shape.",😇,Explain,Dissonant
"n-no, not--no. no!",,Oppose,Plain
"n-no, not--no. no!",😡,Oppose,Consonant
"n-no, not--no. no!",😅,Oppose,Dissonant
you got to put that phone away too.,,Arrange,Plain
you got to put that phone away too.,👎,Arrange,Consonant
you got to put that phone away too.,😊,Arrange,Dissonant
you're not my boss.,,Oppose,Plain
you're not my boss.,👎,Oppose,Consonant
you're not my boss.,😊,Oppose,Dissonant
what--what is wrong with you? she's a child!,,Criticize,Plain
what--what is wrong with you? she's a child!,😩,Criticize,Consonant
what--what is wrong with you? she's a child!,😅,Criticize,Dissonant
"not so hot, huh?",,Criticize,Plain
"not so hot, huh?",😞,Criticize,Consonant
"not so hot, huh?",👋,Criticize,Dissonant
can i ask you something?,,Ask for help,Plain
can i ask you something?,😡,Ask for help,Consonant
can i ask you something?,😊,Ask for help,Dissonant
bathroom pass?,,Confirm,Plain
bathroom pass?,👎,Confirm,Consonant
bathroom pass?,👋,Confirm,Dissonant
you seem like you are way too pretty to be working here.,,Praise,Plain
you seem like you are way too pretty to be working here.,💔,Praise,Consonant
you seem like you are way too pretty to be working here.,😅,Praise,Dissonant
you have a nice smile.,,Praise,Plain
you have a nice smile.,🥂,Praise,Consonant
you have a nice smile.,😒,Praise,Dissonant
you--you have a nice smile.,,Praise,Plain
you--you have a nice smile.,💯,Praise,Consonant
you--you have a nice smile.,💀,Praise,Dissonant
"i, uh--i messed up before. i'm sorry.",,Apologise,Plain
"i, uh--i messed up before. i'm sorry.",🥀,Apologise,Consonant
"i, uh--i messed up before. i'm sorry.",😊,Apologise,Dissonant
"i-i was listening, but i wasn't really hearing.",,Explain,Plain
"i-i was listening, but i wasn't really hearing.",😩,Explain,Consonant
"i-i was listening, but i wasn't really hearing.",😅,Explain,Dissonant
"tonight, gonna pop open a couple brewskis, we're gonna get ourselves a nice pie--pizza pie, and we are gonna watch ourselves a little movie called  bad boys 2  and get you through this breakup thing roomie-style.",,Plan,Plain
"tonight, gonna pop open a couple brewskis, we're gonna get ourselves a nice pie--pizza pie, and we are gonna watch ourselves a little movie called  bad boys 2  and get you through this breakup thing roomie-style.",👍,Plan,Consonant
"tonight, gonna pop open a couple brewskis, we're gonna get ourselves a nice pie--pizza pie, and we are gonna watch ourselves a little movie called  bad boys 2  and get you through this breakup thing roomie-style.",💀,Plan,Dissonant
all right. that's enough.,,Agree,Plain
all right. that's enough.,😂,Agree,Consonant
all right. that's enough.,💀,Agree,Dissonant
"attention, cloud 9 employees!",,Inform,Plain
"attention, cloud 9 employees!",💯,Inform,Consonant
"attention, cloud 9 employees!",😐,Inform,Dissonant
"dina did not break up with me, and actually, if you want to get real about it, it was my idea.",,Inform,Plain
"dina did not break up with me, and actually, if you want to get real about it, it was my idea.",🤦,Inform,Consonant
"dina did not break up with me, and actually, if you want to get real about it, it was my idea.",😇,Inform,Dissonant
i was trying to be a nice guy.,,Inform,Plain
i was trying to be a nice guy.,😡,Inform,Consonant
i was trying to be a nice guy.,👋,Inform,Dissonant
sorry about that.,,Apologise,Plain
sorry about that.,🤦,Apologise,Consonant
sorry about that.,😇,Apologise,Dissonant
please pretend you didn't hear that.,,Advise,Plain
please pretend you didn't hear that.,😠,Advise,Consonant
please pretend you didn't hear that.,😊,Advise,Dissonant
i'm gonna just put these back.,,Plan,Plain
i'm gonna just put these back.,😞,Plan,Consonant
i'm gonna just put these back.,😊,Plan,Dissonant
"oh, hey, is this where justine fell?",,Confirm,Plain
"oh, hey, is this where justine fell?",👎,Confirm,Consonant
"oh, hey, is this where justine fell?",🙂,Confirm,Dissonant
yeah.,,Agree,Plain
yeah.,❤️,Agree,Consonant
yeah.,🙄,Agree,Dissonant
i gotta write it up for her workman's comp claim.,,Plan,Plain
i gotta write it up for her workman's comp claim.,😞,Plan,Consonant
i gotta write it up for her workman's comp claim.,😊,Plan,Dissonant
do you think emma's doing okay?,,Confirm,Plain
do you think emma's doing okay?,🙌,Confirm,Consonant
do you think emma's doing okay?,😒,Confirm,Dissonant
i just feel like i'm losing control.,,Complain,Plain
i just feel like i'm losing control.,😢,Complain,Consonant
i just feel like i'm losing control.,😊,Complain,Dissonant
"amy, can i ask you something but without you taking it the wrong way?",,Confirm,Plain
"amy, can i ask you something but without you taking it the wrong way?",👎,Confirm,Consonant
"amy, can i ask you something but without you taking it the wrong way?",👋,Confirm,Dissonant
sure.,,Agree,Plain
sure.,🥂,Agree,Consonant
sure.,🙃,Agree,Dissonant
"when he smiles at you, it feels like the sun is coming up.",,Praise,Plain
"when he smiles at you, it feels like the sun is coming up.",😂,Praise,Consonant
"when he smiles at you, it feels like the sun is coming up.",😒,Praise,Dissonant
"well, scott is way cuter than jeff.",,Praise,Plain
"well, scott is way cuter than jeff.",🔥,Praise,Consonant
"well, scott is way cuter than jeff.",😐,Praise,Dissonant
i'm sorry.   love you.,,Apologise,Plain
i'm sorry.   love you.,✨,Apologise,Consonant
i'm sorry.   love you.,😒,Apologise,Dissonant
"i got carried away, and... it wasn't cool.",,Apologise,Plain
"i got carried away, and... it wasn't cool.",😭,Apologise,Consonant
"i got carried away, and... it wasn't cool.",👋,Apologise,Dissonant
are you saying you want to get back together?,,Confirm,Plain
are you saying you want to get back together?,😭,Confirm,Consonant
are you saying you want to get back together?,😅,Confirm,Dissonant
"i mean, is that crazy?",,Confirm,Plain
"i mean, is that crazy?",😠,Confirm,Consonant
"i mean, is that crazy?",😅,Confirm,Dissonant
i don't think so. let's do it.,,Advise,Plain
i don't think so. let's do it.,🤦,Advise,Consonant
i don't think so. let's do it.,😇,Advise,Dissonant
okay.,,Agree,Plain
okay.,🥂,Agree,Consonant
okay.,🙄,Agree,Dissonant
"yeah, this isn't working out. i'm dumping you.",,Oppose,Plain
"yeah, this isn't working out. i'm dumping you.",😭,Oppose,Consonant
"yeah, this isn't working out. i'm dumping you.",👋,Oppose,Dissonant
"sir, did you just see that i dumped him?",,Confirm,Plain
"sir, did you just see that i dumped him?",😢,Confirm,Consonant
"sir, did you just see that i dumped him?",😊,Confirm,Dissonant
"attention, cloud 9 employees.",,Inform,Plain
"attention, cloud 9 employees.",🥰,Inform,Consonant
"attention, cloud 9 employees.",💀,Inform,Dissonant
we have a nonverbal confirmation i dumped garrett.,,Inform,Plain
we have a nonverbal confirmation i dumped garrett.,😭,Inform,Consonant
we have a nonverbal confirmation i dumped garrett.,😇,Inform,Dissonant
you're a monster.,,Criticize,Plain
you're a monster.,😭,Criticize,Consonant
you're a monster.,🙂,Criticize,Dissonant
hey!,,Greet,Plain
hey!,😂,Greet,Consonant
hey!,💀,Greet,Dissonant
"um, just some stuff.",,Explain,Plain
"um, just some stuff.",😠,Explain,Consonant
"um, just some stuff.",😅,Explain,Dissonant
yeah.,,Agree,Plain
yeah.,😊,Agree,Consonant
yeah.,😐,Agree,Dissonant
"well, you--put it back.",,Arrange,Plain
"well, you--put it back.",🤦,Arrange,Consonant
"well, you--put it back.",🙂,Arrange,Dissonant
"uh, i don't think i'm gonna.",,Oppose,Plain
"uh, i don't think i'm gonna.",💔,Oppose,Consonant
"uh, i don't think i'm gonna.",😊,Oppose,Dissonant
"wh--well, i caught you, so, y-you have to.",,Explain,Plain
"wh--well, i caught you, so, y-you have to.",❤️,Explain,Consonant
"wh--well, i caught you, so, y-you have to.",🙃,Explain,Dissonant
but th-that's how this works.,,Emphasize,Plain
but th-that's how this works.,❤️,Emphasize,Consonant
but th-that's how this works.,😐,Emphasize,Dissonant
"no, don't just--no. don't take more.",,Prevent,Plain
"no, don't just--no. don't take more.",😩,Prevent,Consonant
"no, don't just--no. don't take more.",👋,Prevent,Dissonant
do you have a gun?,,Confirm,Plain
do you have a gun?,💔,Confirm,Consonant
do you have a gun?,👋,Confirm,Dissonant
"uh, i-i don't think you do.",,Oppose,Plain
"uh, i-i don't think you do.",😞,Oppose,Consonant
"uh, i-i don't think you do.",😇,Oppose,Dissonant
okay. excuse me.,,Leave,Plain
okay. excuse me.,😩,Leave,Consonant
okay. excuse me.,😇,Leave,Dissonant
oh. wait!,,Prevent,Plain
oh. wait!,😠,Prevent,Consonant
oh. wait!,🙂,Prevent,Dissonant
"no, no, no, no! no, he--no.",,Prevent,Plain
"no, no, no, no! no, he--no.",😭,Prevent,Consonant
"no, no, no, no! no, he--no.",😇,Prevent,Dissonant
"jonah, call the police! right.",,Arrange,Plain
"jonah, call the police! right.",😂,Arrange,Consonant
"jonah, call the police! right.",😐,Arrange,Dissonant
look who's grounded now.,,Taunt,Plain
look who's grounded now.,🔥,Taunt,Consonant
look who's grounded now.,😐,Taunt,Dissonant
look who's grounded now.,🙃,Taunt,Social
"jonah, i just did a  law & order  type zinger.",,Flaunt,Plain
"jonah, i just did a  law & order  type zinger.",🤦,Flaunt,Consonant
"jonah, i just did a  law & order  type zinger.",😇,Flaunt,Dissonant
"jonah, i just did a  law & order  type zinger.",🚀,Flaunt,Social
i saw immediately it was a 487 in progress.,,Flaunt,Plain
i saw immediately it was a 487 in progress.,👍,Flaunt,Consonant
i saw immediately it was a 487 in progress.,🙄,Flaunt,Dissonant
i saw immediately it was a 487 in progress.,💸,Flaunt,Social
"i don't know what he could have done to you beforehand, but it is not your fault if he touched you.",,Comfort,Plain
"i don't know what he could have done to you beforehand, but it is not your fault if he touched you.",✨,Comfort,Consonant
"i don't know what he could have done to you beforehand, but it is not your fault if he touched you.",😐,Comfort,Dissonant
"okay, okay. nothing happened.",,Explain,Plain
"okay, okay. nothing happened.",😠,Explain,Consonant
"okay, okay. nothing happened.",😅,Explain,Dissonant
end of story.,,Inform,Plain
end of story.,🥀,Inform,Consonant
end of story.,👋,Inform,Dissonant
and you made no attempt to stop him?,,Doubt,Plain
and you made no attempt to stop him?,💯,Doubt,Consonant
and you made no attempt to stop him?,💀,Doubt,Dissonant
"no, i mean, i told him to stop, but he didn't.",,Explain,Plain
"no, i mean, i told him to stop, but he didn't.",😢,Explain,Consonant
"no, i mean, i told him to stop, but he didn't.",😅,Explain,Dissonant
"he asked you to move out of the way so he could leave with the cash, and you just did it?",,Confirm,Plain
"he asked you to move out of the way so he could leave with the cash, and you just did it?",😭,Confirm,Consonant
"he asked you to move out of the way so he could leave with the cash, and you just did it?",😇,Confirm,Dissonant
"so it was for of, like, a reflex.",,Explain,Plain
"so it was for of, like, a reflex.",😠,Explain,Consonant
"so it was for of, like, a reflex.",🙂,Explain,Dissonant
"oh, so are you just going to be calm when a group of methed-out serial killers stabs myrtle to death in the parking lot?",,Doubt,Plain
"oh, so are you just going to be calm when a group of methed-out serial killers stabs myrtle to death in the parking lot?",💔,Doubt,Consonant
"oh, so are you just going to be calm when a group of methed-out serial killers stabs myrtle to death in the parking lot?",🙂,Doubt,Dissonant
"no, because that would be a different tone.",,Explain,Plain
"no, because that would be a different tone.",😢,Explain,Consonant
"no, because that would be a different tone.",😅,Explain,Dissonant
is it about your boots?,,Confirm,Plain
is it about your boots?,😞,Confirm,Consonant
is it about your boots?,👋,Confirm,Dissonant
"uh, no.",,Oppose,Plain
"uh, no.",🤦,Oppose,Consonant
"uh, no.",😇,Oppose,Dissonant
"um, it's about this morning's incident.",,Explain,Plain
"um, it's about this morning's incident.",😩,Explain,Consonant
"um, it's about this morning's incident.",😊,Explain,Dissonant
is that when you bought your boots?,,Confirm,Plain
is that when you bought your boots?,🤦,Confirm,Consonant
is that when you bought your boots?,😅,Confirm,Dissonant
"what i'm saying is, don't do what dina did.",,Inform,Plain
"what i'm saying is, don't do what dina did.",🥀,Inform,Consonant
"what i'm saying is, don't do what dina did.",😅,Inform,Dissonant
"and while it worked out okay this time, it could have turned into serious injury, or death, or god forbid, a lawsuit.",,Warn,Plain
"and while it worked out okay this time, it could have turned into serious injury, or death, or god forbid, a lawsuit.",👎,Warn,Consonant
"and while it worked out okay this time, it could have turned into serious injury, or death, or god forbid, a lawsuit.",😅,Warn,Dissonant
"just stand there and make brown, like jonah?",,Taunt,Plain
"just stand there and make brown, like jonah?",🙌,Taunt,Consonant
"just stand there and make brown, like jonah?",😒,Taunt,Dissonant
"just stand there and make brown, like jonah?",👏,Taunt,Social
"well, i didn't actually do anything--",,Explain,Plain
"well, i didn't actually do anything--",😭,Explain,Consonant
"well, i didn't actually do anything--",😊,Explain,Dissonant
exactly. he just sat there and watched a guy rob the store.,,Criticize,Plain
exactly. he just sat there and watched a guy rob the store.,😠,Criticize,Consonant
exactly. he just sat there and watched a guy rob the store.,🙂,Criticize,Dissonant
thank you. that is what you should all do in the future.,,Thank,Plain
thank you. that is what you should all do in the future.,🙌,Thank,Consonant
thank you. that is what you should all do in the future.,😐,Thank,Dissonant
"thank you, jonah, for actually following protocol.",,Thank,Plain
"thank you, jonah, for actually following protocol.",😊,Thank,Consonant
"thank you, jonah, for actually following protocol.",🙄,Thank,Dissonant
what then? do you want me to just sit there and watch someone take a baby?,,Doubt,Plain
what then? do you want me to just sit there and watch someone take a baby?,😭,Doubt,Consonant
what then? do you want me to just sit there and watch someone take a baby?,👋,Doubt,Dissonant
what if the baby is wearing a bomb?,,Doubt,Plain
what if the baby is wearing a bomb?,😢,Doubt,Consonant
what if the baby is wearing a bomb?,😅,Doubt,Dissonant
then wouldn't you want him to steal it?,,Doubt,Plain
then wouldn't you want him to steal it?,🥀,Doubt,Consonant
then wouldn't you want him to steal it?,😇,Doubt,Dissonant
"oh, yeah. yeah.",,Agree,Plain
"oh, yeah. yeah.",😂,Agree,Consonant
"oh, yeah. yeah.",🙃,Agree,Dissonant
"yes, yes. and i'm so sorry.",,Apologise,Plain
"yes, yes. and i'm so sorry.",😠,Apologise,Consonant
"yes, yes. and i'm so sorry.",😇,Apologise,Dissonant
