text,emoji,label,injection_type
"yes. actually, yeah. that would be great.",,Agree,Plain
"yes. actually, yeah. that would be great.",😂,Agree,Consonant
"yes. actually, yeah. that would be great.",😏,Agree,Dissonant
"oh, no, no, no, no. i was just kidding.",,Explain,Plain
"oh, no, no, no, no. i was just kidding.",😢,Explain,Consonant
"oh, no, no, no, no. i was just kidding.",🤪,Explain,Dissonant
"oh.   hey, um, you think i could get that badge for the bathroom again?",,Ask for help,Plain
"oh.   hey, um, you think i could get that badge for the bathroom again?",📉,Ask for help,Consonant
"oh.   hey, um, you think i could get that badge for the bathroom again?",🦄,Ask for help,Dissonant
"oh.   hey, um, you think i could get that badge for the bathroom again?",🪜,Ask for help,Social
"i would love to, um, but i could actually get into trouble with my boss.",,Explain,Plain
"i would love to, um, but i could actually get into trouble with my boss.",🤢,Explain,Consonant
"i would love to, um, but i could actually get into trouble with my boss.",🍵,Explain,Dissonant
oh.,,Acknowledge,Plain
oh.,🎉,Acknowledge,Consonant
oh.,🥱,Acknowledge,Dissonant
"yeah, i mean, i am a bad boy, but not that way.",,Explain,Plain
"yeah, i mean, i am a bad boy, but not that way.",😣,Explain,Consonant
"yeah, i mean, i am a bad boy, but not that way.",🐒,Explain,Dissonant
i'm sorry about before.,,Apologise,Plain
i'm sorry about before.,😿,Apologise,Consonant
i'm sorry about before.,🦄,Apologise,Dissonant
i'm sorry about before.,💧,Apologise,Social
"i hadn't eaten anything, and, uh, i got a weird call from my wife.",,Explain,Plain
"i hadn't eaten anything, and, uh, i got a weird call from my wife.",😩,Explain,Consonant
"i hadn't eaten anything, and, uh, i got a weird call from my wife.",😅,Explain,Dissonant
"okay, let me stop you right there.",,Prevent,Plain
"okay, let me stop you right there.",❤️,Prevent,Consonant
"okay, let me stop you right there.",🙃,Prevent,Dissonant
i was wrong for yelling at you earlier.,,Apologise,Plain
i was wrong for yelling at you earlier.,😩,Apologise,Consonant
i was wrong for yelling at you earlier.,🦄,Apologise,Dissonant
i was wrong for yelling at you earlier.,💔,Apologise,Social
okay.,,Acknowledge,Plain
okay.,🤗,Acknowledge,Consonant
okay.,🙄,Acknowledge,Dissonant
"so if you wanted to, like, go over there and really give it to her, that would be fine.",,Advise,Plain
"so if you wanted to, like, go over there and really give it to her, that would be fine.",💪,Advise,Consonant
"so if you wanted to, like, go over there and really give it to her, that would be fine.",🙃,Advise,Dissonant
"so if you wanted to, like, go over there and really give it to her, that would be fine.",☝️,Advise,Social
"obviously, don't hit her, but if you wanted to shake her a little, that would be cool.",,Advise,Plain
"obviously, don't hit her, but if you wanted to shake her a little, that would be cool.",👏,Advise,Consonant
"obviously, don't hit her, but if you wanted to shake her a little, that would be cool.",😑,Advise,Dissonant
"obviously, don't hit her, but if you wanted to shake her a little, that would be cool.",🧠,Advise,Social
i'm not gonna shake a little girl.,,Oppose,Plain
i'm not gonna shake a little girl.,😢,Oppose,Consonant
i'm not gonna shake a little girl.,🍵,Oppose,Dissonant
"no, no, i'm her mom. i'm not gonna report it.",,Explain,Plain
"no, no, i'm her mom. i'm not gonna report it.",😫,Explain,Consonant
"no, no, i'm her mom. i'm not gonna report it.",🧘,Explain,Dissonant
it's a can.,,Introduce,Plain
it's a can.,👏,Introduce,Consonant
it's a can.,🌚,Introduce,Dissonant
it's a can.,👋,Introduce,Social
"sure, yeah, yeah, it's a can, we don't really organize things here by shape.",,Explain,Plain
"sure, yeah, yeah, it's a can, we don't really organize things here by shape.",😡,Explain,Consonant
"sure, yeah, yeah, it's a can, we don't really organize things here by shape.",🦄,Explain,Dissonant
"n-no, not--no. no!",,Oppose,Plain
"n-no, not--no. no!",😫,Oppose,Consonant
"n-no, not--no. no!",😘,Oppose,Dissonant
you got to put that phone away too.,,Arrange,Plain
you got to put that phone away too.,😞,Arrange,Consonant
you got to put that phone away too.,😘,Arrange,Dissonant
you're not my boss.,,Oppose,Plain
you're not my boss.,😠,Oppose,Consonant
you're not my boss.,😅,Oppose,Dissonant
what--what is wrong with you? she's a child!,,Criticize,Plain
what--what is wrong with you? she's a child!,🤢,Criticize,Consonant
what--what is wrong with you? she's a child!,😅,Criticize,Dissonant
what--what is wrong with you? she's a child!,🚮,Criticize,Social
"not so hot, huh?",,Criticize,Plain
"not so hot, huh?",😣,Criticize,Consonant
"not so hot, huh?",💫,Criticize,Dissonant
"not so hot, huh?",🚮,Criticize,Social
can i ask you something?,,Ask for help,Plain
can i ask you something?,😿,Ask for help,Consonant
can i ask you something?,🙂,Ask for help,Dissonant
can i ask you something?,🛟,Ask for help,Social
bathroom pass?,,Confirm,Plain
bathroom pass?,🤬,Confirm,Consonant
bathroom pass?,🤷,Confirm,Dissonant
bathroom pass?,🫡,Confirm,Social
you seem like you are way too pretty to be working here.,,Praise,Plain
you seem like you are way too pretty to be working here.,😫,Praise,Consonant
you seem like you are way too pretty to be working here.,💫,Praise,Dissonant
you seem like you are way too pretty to be working here.,🏅,Praise,Social
you have a nice smile.,,Praise,Plain
you have a nice smile.,🥰,Praise,Consonant
you have a nice smile.,🤥,Praise,Dissonant
you have a nice smile.,🏅,Praise,Social
you--you have a nice smile.,,Praise,Plain
you--you have a nice smile.,💪,Praise,Consonant
you--you have a nice smile.,🌚,Praise,Dissonant
you--you have a nice smile.,🌟,Praise,Social
"i, uh--i messed up before. i'm sorry.",,Apologise,Plain
"i, uh--i messed up before. i'm sorry.",😩,Apologise,Consonant
"i, uh--i messed up before. i'm sorry.",🙂,Apologise,Dissonant
"i, uh--i messed up before. i'm sorry.",🤐,Apologise,Social
"i-i was listening, but i wasn't really hearing.",,Explain,Plain
"i-i was listening, but i wasn't really hearing.",😢,Explain,Consonant
"i-i was listening, but i wasn't really hearing.",😅,Explain,Dissonant
"tonight, gonna pop open a couple brewskis, we're gonna get ourselves a nice pie--pizza pie, and we are gonna watch ourselves a little movie called  bad boys 2  and get you through this breakup thing roomie-style.",,Plan,Plain
"tonight, gonna pop open a couple brewskis, we're gonna get ourselves a nice pie--pizza pie, and we are gonna watch ourselves a little movie called  bad boys 2  and get you through this breakup thing roomie-style.",🔥,Plan,Consonant
"tonight, gonna pop open a couple brewskis, we're gonna get ourselves a nice pie--pizza pie, and we are gonna watch ourselves a little movie called  bad boys 2  and get you through this breakup thing roomie-style.",🥱,Plan,Dissonant
all right. that's enough.,,Agree,Plain
all right. that's enough.,🔥,Agree,Consonant
all right. that's enough.,🧐,Agree,Dissonant
"attention, cloud 9 employees!",,Inform,Plain
"attention, cloud 9 employees!",👏,Inform,Consonant
"attention, cloud 9 employees!",🌚,Inform,Dissonant
"attention, cloud 9 employees!",💡,Inform,Social
"dina did not break up with me, and actually, if you want to get real about it, it was my idea.",,Inform,Plain
"dina did not break up with me, and actually, if you want to get real about it, it was my idea.",😭,Inform,Consonant
"dina did not break up with me, and actually, if you want to get real about it, it was my idea.",💅,Inform,Dissonant
"dina did not break up with me, and actually, if you want to get real about it, it was my idea.",📎,Inform,Social
i was trying to be a nice guy.,,Inform,Plain
i was trying to be a nice guy.,💔,Inform,Consonant
i was trying to be a nice guy.,💫,Inform,Dissonant
i was trying to be a nice guy.,📝,Inform,Social
sorry about that.,,Apologise,Plain
sorry about that.,😢,Apologise,Consonant
sorry about that.,😇,Apologise,Dissonant
sorry about that.,🏳️,Apologise,Social
please pretend you didn't hear that.,,Advise,Plain
please pretend you didn't hear that.,🤐,Advise,Consonant
please pretend you didn't hear that.,😅,Advise,Dissonant
please pretend you didn't hear that.,🔮,Advise,Social
i'm gonna just put these back.,,Plan,Plain
i'm gonna just put these back.,👎,Plan,Consonant
i'm gonna just put these back.,😇,Plan,Dissonant
"oh, hey, is this where justine fell?",,Confirm,Plain
"oh, hey, is this where justine fell?",👎,Confirm,Consonant
"oh, hey, is this where justine fell?",🤷,Confirm,Dissonant
"oh, hey, is this where justine fell?",✅,Confirm,Social
yeah.,,Agree,Plain
yeah.,🌈,Agree,Consonant
yeah.,🙄,Agree,Dissonant
i gotta write it up for her workman's comp claim.,,Plan,Plain
i gotta write it up for her workman's comp claim.,💔,Plan,Consonant
i gotta write it up for her workman's comp claim.,🤠,Plan,Dissonant
do you think emma's doing okay?,,Confirm,Plain
do you think emma's doing okay?,🔥,Confirm,Consonant
do you think emma's doing okay?,💀,Confirm,Dissonant
do you think emma's doing okay?,🆗,Confirm,Social
i just feel like i'm losing control.,,Complain,Plain
i just feel like i'm losing control.,🥀,Complain,Consonant
i just feel like i'm losing control.,🍵,Complain,Dissonant
"amy, can i ask you something but without you taking it the wrong way?",,Confirm,Plain
"amy, can i ask you something but without you taking it the wrong way?",🤦,Confirm,Consonant
"amy, can i ask you something but without you taking it the wrong way?",👋,Confirm,Dissonant
"amy, can i ask you something but without you taking it the wrong way?",🤘,Confirm,Social
sure.,,Agree,Plain
sure.,👍,Agree,Consonant
sure.,💀,Agree,Dissonant
"when he smiles at you, it feels like the sun is coming up.",,Praise,Plain
"when he smiles at you, it feels like the sun is coming up.",🌈,Praise,Consonant
"when he smiles at you, it feels like the sun is coming up.",🥱,Praise,Dissonant
"when he smiles at you, it feels like the sun is coming up.",👏,Praise,Social
"well, scott is way cuter than jeff.",,Praise,Plain
"well, scott is way cuter than jeff.",❤️,Praise,Consonant
"well, scott is way cuter than jeff.",🙃,Praise,Dissonant
"well, scott is way cuter than jeff.",🌟,Praise,Social
i'm sorry.   love you.,,Apologise,Plain
i'm sorry.   love you.,💐,Apologise,Consonant
i'm sorry.   love you.,🥱,Apologise,Dissonant
i'm sorry.   love you.,🙇,Apologise,Social
"i got carried away, and... it wasn't cool.",,Apologise,Plain
"i got carried away, and... it wasn't cool.",😩,Apologise,Consonant
"i got carried away, and... it wasn't cool.",😊,Apologise,Dissonant
"i got carried away, and... it wasn't cool.",🥀,Apologise,Social
are you saying you want to get back together?,,Confirm,Plain
are you saying you want to get back together?,😭,Confirm,Consonant
are you saying you want to get back together?,💅,Confirm,Dissonant
are you saying you want to get back together?,👌,Confirm,Social
"i mean, is that crazy?",,Confirm,Plain
"i mean, is that crazy?",😠,Confirm,Consonant
"i mean, is that crazy?",😅,Confirm,Dissonant
"i mean, is that crazy?",🤙,Confirm,Social
i don't think so. let's do it.,,Advise,Plain
i don't think so. let's do it.,🤦,Advise,Consonant
i don't think so. let's do it.,😘,Advise,Dissonant
i don't think so. let's do it.,📢,Advise,Social
okay.,,Agree,Plain
okay.,💪,Agree,Consonant
okay.,🙃,Agree,Dissonant
"yeah, this isn't working out. i'm dumping you.",,Oppose,Plain
"yeah, this isn't working out. i'm dumping you.",😠,Oppose,Consonant
"yeah, this isn't working out. i'm dumping you.",😅,Oppose,Dissonant
"sir, did you just see that i dumped him?",,Confirm,Plain
"sir, did you just see that i dumped him?",😞,Confirm,Consonant
"sir, did you just see that i dumped him?",🤷,Confirm,Dissonant
"sir, did you just see that i dumped him?",🫡,Confirm,Social
"attention, cloud 9 employees.",,Inform,Plain
"attention, cloud 9 employees.",😂,Inform,Consonant
"attention, cloud 9 employees.",🙃,Inform,Dissonant
"attention, cloud 9 employees.",📡,Inform,Social
we have a nonverbal confirmation i dumped garrett.,,Inform,Plain
we have a nonverbal confirmation i dumped garrett.,😢,Inform,Consonant
we have a nonverbal confirmation i dumped garrett.,🤠,Inform,Dissonant
we have a nonverbal confirmation i dumped garrett.,🔔,Inform,Social
you're a monster.,,Criticize,Plain
you're a monster.,😭,Criticize,Consonant
you're a monster.,🤷,Criticize,Dissonant
you're a monster.,🥀,Criticize,Social
hey!,,Greet,Plain
hey!,💪,Greet,Consonant
hey!,😐,Greet,Dissonant
"um, just some stuff.",,Explain,Plain
"um, just some stuff.",😡,Explain,Consonant
"um, just some stuff.",🦄,Explain,Dissonant
yeah.,,Agree,Plain
yeah.,✨,Agree,Consonant
yeah.,🙄,Agree,Dissonant
"well, you--put it back.",,Arrange,Plain
"well, you--put it back.",🤐,Arrange,Consonant
"well, you--put it back.",💫,Arrange,Dissonant
"uh, i don't think i'm gonna.",,Oppose,Plain
"uh, i don't think i'm gonna.",🤕,Oppose,Consonant
"uh, i don't think i'm gonna.",🙂,Oppose,Dissonant
"wh--well, i caught you, so, y-you have to.",,Explain,Plain
"wh--well, i caught you, so, y-you have to.",🔥,Explain,Consonant
"wh--well, i caught you, so, y-you have to.",😏,Explain,Dissonant
but th-that's how this works.,,Emphasize,Plain
but th-that's how this works.,🥰,Emphasize,Consonant
but th-that's how this works.,🙃,Emphasize,Dissonant
"no, don't just--no. don't take more.",,Prevent,Plain
"no, don't just--no. don't take more.",😫,Prevent,Consonant
"no, don't just--no. don't take more.",🤠,Prevent,Dissonant
do you have a gun?,,Confirm,Plain
do you have a gun?,📉,Confirm,Consonant
do you have a gun?,😘,Confirm,Dissonant
do you have a gun?,🤝,Confirm,Social
"uh, i-i don't think you do.",,Oppose,Plain
"uh, i-i don't think you do.",😣,Oppose,Consonant
"uh, i-i don't think you do.",🤠,Oppose,Dissonant
okay. excuse me.,,Leave,Plain
okay. excuse me.,🤬,Leave,Consonant
okay. excuse me.,🤷,Leave,Dissonant
oh. wait!,,Prevent,Plain
oh. wait!,👎,Prevent,Consonant
oh. wait!,🤪,Prevent,Dissonant
"no, no, no, no! no, he--no.",,Prevent,Plain
"no, no, no, no! no, he--no.",🤢,Prevent,Consonant
"no, no, no, no! no, he--no.",🤷,Prevent,Dissonant
"jonah, call the police! right.",,Arrange,Plain
"jonah, call the police! right.",🤗,Arrange,Consonant
"jonah, call the police! right.",🙄,Arrange,Dissonant
look who's grounded now.,,Taunt,Plain
look who's grounded now.,🎈,Taunt,Consonant
look who's grounded now.,🤐,Taunt,Dissonant
look who's grounded now.,👏,Taunt,Social
"jonah, i just did a  law & order  type zinger.",,Flaunt,Plain
"jonah, i just did a  law & order  type zinger.",🤐,Flaunt,Consonant
"jonah, i just did a  law & order  type zinger.",🤠,Flaunt,Dissonant
"jonah, i just did a  law & order  type zinger.",🚁,Flaunt,Social
i saw immediately it was a 487 in progress.,,Flaunt,Plain
i saw immediately it was a 487 in progress.,🔥,Flaunt,Consonant
i saw immediately it was a 487 in progress.,😬,Flaunt,Dissonant
i saw immediately it was a 487 in progress.,💎,Flaunt,Social
"i don't know what he could have done to you beforehand, but it is not your fault if he touched you.",,Comfort,Plain
"i don't know what he could have done to you beforehand, but it is not your fault if he touched you.",🙌,Comfort,Consonant
"i don't know what he could have done to you beforehand, but it is not your fault if he touched you.",🤥,Comfort,Dissonant
"i don't know what he could have done to you beforehand, but it is not your fault if he touched you.",🥺,Comfort,Social
"okay, okay. nothing happened.",,Explain,Plain
"okay, okay. nothing happened.",😫,Explain,Consonant
"okay, okay. nothing happened.",🙂,Explain,Dissonant
end of story.,,Inform,Plain
end of story.,😢,Inform,Consonant
end of story.,🦄,Inform,Dissonant
end of story.,🔔,Inform,Social
and you made no attempt to stop him?,,Doubt,Plain
and you made no attempt to stop him?,😂,Doubt,Consonant
and you made no attempt to stop him?,😐,Doubt,Dissonant
"no, i mean, i told him to stop, but he didn't.",,Explain,Plain
"no, i mean, i told him to stop, but he didn't.",😞,Explain,Consonant
