source_id,split,text,emoji,label,intent_label,dissonance_label
train:10:2,train,"because she asked me,  what's new with you,  and so i told her.",📖,Explain,Explain,Low
train:10:4,train,"okay, but you didn't break up with me.",❗,Emphasize,Emphasize,Low
train:10:7,train,"well, there you go, champ.",😏,Taunt,Taunt,High
train:10:8,train,i'm sorry. do you know what a softline is?,🙋,Ask for help,Ask for help,Low
train:10:9,train,i don't have time for this.,🚪,Leave,Leave,Low
train:10:10,train,excuse me.,😊,Greet,Greet,Low
train:10:11,train,do you know what a softline is?,🚨,Ask for help,Ask for help,Low
train:10:12,train,i don't live here. i'm from tampa.,👋,Leave,Leave,Low
train:11:4,train,"oh, uh, no, you're not done.",ℹ️,Inform,Inform,Low
train:11:5,train,"well, because the floor is still slippery.",💬,Explain,Explain,Low
train:11:6,train,okay. fine.,✅,Agree,Agree,Low
train:11:7,train,how about you and i go get a soda?,📩,Invite,Invite,Low
train:12:2,train,and then she's not doing her homework.,🤔,Criticize,Criticize,High
train:12:3,train,and then she's hanging out with the bad kids.,🤨,Criticize,Criticize,High
train:12:4,train,"yes. actually, yeah. that would be great.",🤝,Agree,Agree,Low
train:12:5,train,"oh, no, no, no, no. i was just kidding.",💬,Explain,Explain,Low
train:13:2,train,"oh.   hey, um, you think i could get that badge for the bathroom again?",🥺,Ask for help,Ask for help,Low
train:13:4,train,"i would love to, um, but i could actually get into trouble with my boss.",💬,Explain,Explain,Low
train:13:5,train,oh.,🤝,Acknowledge,Acknowledge,Low
train:13:6,train,"yeah, i mean, i am a bad boy, but not that way.",💡,Explain,Explain,Low
train:14:0,train,i'm sorry about before.,🙏,Apologise,Apologise,Low
train:14:1,train,"i hadn't eaten anything, and, uh, i got a weird call from my wife.",💡,Explain,Explain,Low
train:14:2,train,"okay, let me stop you right there.",🚫,Prevent,Prevent,Medium
train:14:3,train,i was wrong for yelling at you earlier.,🥺,Apologise,Apologise,Low
train:14:4,train,okay.,🤝,Acknowledge,Acknowledge,Low
train:14:5,train,"so if you wanted to, like, go over there and really give it to her, that would be fine.",💡,Advise,Advise,Low
train:14:6,train,"obviously, don't hit her, but if you wanted to shake her a little, that would be cool.",☝️,Advise,Advise,Low
train:14:7,train,i'm not gonna shake a little girl.,⛔,Oppose,Oppose,High
train:14:8,train,"no, no, i'm her mom. i'm not gonna report it.",📖,Explain,Explain,Low
train:16:0,train,it's a can.,📛,Introduce,Introduce,Low
train:16:1,train,"sure, yeah, yeah, it's a can, we don't really organize things here by shape.",📖,Explain,Explain,Low
train:16:4,train,"n-no, not--no. no!",👎,Oppose,Oppose,High
train:16:6,train,you got to put that phone away too.,📅,Arrange,Arrange,Low
train:16:7,train,you're not my boss.,👎,Oppose,Oppose,High
train:16:8,train,what--what is wrong with you? she's a child!,😑,Criticize,Criticize,High
train:16:12,train,"not so hot, huh?",😑,Criticize,Criticize,High
train:17:1,train,can i ask you something?,🚨,Ask for help,Ask for help,Low
train:17:3,train,bathroom pass?,🤝,Confirm,Confirm,Low
train:17:4,train,you seem like you are way too pretty to be working here.,🏆,Praise,Praise,Low
train:17:6,train,you have a nice smile.,👏,Praise,Praise,Low
train:17:8,train,you--you have a nice smile.,🌟,Praise,Praise,Low
train:19:0,train,"i, uh--i messed up before. i'm sorry.",😔,Apologise,Apologise,Low
train:19:1,train,"i-i was listening, but i wasn't really hearing.",📖,Explain,Explain,Low
train:19:2,train,"tonight, gonna pop open a couple brewskis, we're gonna get ourselves a nice pie--pizza pie, and we are gonna watch ourselves a little movie called  bad boys 2  and get you through this breakup thing roomie-style.",📋,Plan,Plan,Low
train:19:3,train,all right. that's enough.,👍,Agree,Agree,Low
train:19:4,train,"attention, cloud 9 employees!",📢,Inform,Inform,Low
train:19:5,train,"dina did not break up with me, and actually, if you want to get real about it, it was my idea.",📝,Inform,Inform,Low
train:19:6,train,i was trying to be a nice guy.,📝,Inform,Inform,Low
train:19:9,train,sorry about that.,🙏,Apologise,Apologise,Low
train:19:10,train,please pretend you didn't hear that.,💡,Advise,Advise,Low
train:19:11,train,i'm gonna just put these back.,📅,Plan,Plan,Low
train:20:0,train,"oh, hey, is this where justine fell?",🤝,Confirm,Confirm,Low
train:20:1,train,yeah.,🤝,Agree,Agree,Low
train:20:2,train,i gotta write it up for her workman's comp claim.,📋,Plan,Plan,Low
train:20:3,train,do you think emma's doing okay?,👌,Confirm,Confirm,Low
train:20:4,train,i just feel like i'm losing control.,🙄,Complain,Complain,High
train:20:5,train,"amy, can i ask you something but without you taking it the wrong way?",✅,Confirm,Confirm,Low
train:20:6,train,sure.,👍,Agree,Agree,Low
train:21:0,train,"when he smiles at you, it feels like the sun is coming up.",🌟,Praise,Praise,Low
train:21:2,train,"well, scott is way cuter than jeff.",👏,Praise,Praise,Low
train:21:3,train,i'm sorry.   love you.,🙏,Apologise,Apologise,Low
train:22:0,train,"i got carried away, and... it wasn't cool.",😔,Apologise,Apologise,Low
train:22:3,train,are you saying you want to get back together?,✅,Confirm,Confirm,Low
train:22:4,train,"i mean, is that crazy?",✅,Confirm,Confirm,Low
train:22:5,train,i don't think so. let's do it.,💡,Advise,Advise,Low
train:22:6,train,okay.,👍,Agree,Agree,Low
train:22:7,train,"yeah, this isn't working out. i'm dumping you.",⛔,Oppose,Oppose,High
train:22:8,train,"sir, did you just see that i dumped him?",👌,Confirm,Confirm,Low
train:22:9,train,"attention, cloud 9 employees.",ℹ️,Inform,Inform,Low
train:22:10,train,we have a nonverbal confirmation i dumped garrett.,ℹ️,Inform,Inform,Low
train:22:11,train,you're a monster.,🤔,Criticize,Criticize,High
train:24:0,train,hey!,👋,Greet,Greet,Low
train:24:1,train,"um, just some stuff.",💬,Explain,Explain,Low
train:24:2,train,yeah.,✅,Agree,Agree,Low
train:24:3,train,"well, you--put it back.",🗓️,Arrange,Arrange,Low
train:24:4,train,"uh, i don't think i'm gonna.",⛔,Oppose,Oppose,High
train:24:5,train,"wh--well, i caught you, so, y-you have to.",💬,Explain,Explain,Low
train:24:7,train,but th-that's how this works.,🔥,Emphasize,Emphasize,Low
train:24:8,train,"no, don't just--no. don't take more.",🛑,Prevent,Prevent,Medium
train:24:9,train,do you have a gun?,🤝,Confirm,Confirm,Low
train:24:11,train,"uh, i-i don't think you do.",👎,Oppose,Oppose,High
train:24:13,train,okay. excuse me.,🏃,Leave,Leave,Low
train:24:14,train,oh. wait!,🛑,Prevent,Prevent,Medium
train:24:15,train,"no, no, no, no! no, he--no.",🛑,Prevent,Prevent,Medium
train:24:16,train,"jonah, call the police! right.",🗓️,Arrange,Arrange,Low
train:24:17,train,look who's grounded now.,🤡,Taunt,Taunt,High
train:24:18,train,"jonah, i just did a  law & order  type zinger.",💎,Flaunt,Flaunt,Medium
train:25:0,train,i saw immediately it was a 487 in progress.,💸,Flaunt,Flaunt,Medium
train:25:1,train,"i don't know what he could have done to you beforehand, but it is not your fault if he touched you.",💛,Comfort,Comfort,Low
train:25:2,train,"okay, okay. nothing happened.",💬,Explain,Explain,Low
train:25:3,train,end of story.,📝,Inform,Inform,Low
train:25:4,train,and you made no attempt to stop him?,🤨,Doubt,Doubt,Medium
train:25:5,train,"no, i mean, i told him to stop, but he didn't.",📖,Explain,Explain,Low
train:25:7,train,"he asked you to move out of the way so he could leave with the cash, and you just did it?",✅,Confirm,Confirm,Low
train:25:8,train,"so it was for of, like, a reflex.",💡,Explain,Explain,Low
train:27:1,train,"oh, so are you just going to be calm when a group of methed-out serial killers stabs myrtle to death in the parking lot?",🤔,Doubt,Doubt,Medium
train:27:2,train,"no, because that would be a different tone.",💬,Explain,Explain,Low
train:27:3,train,is it about your boots?,👌,Confirm,Confirm,Low
train:27:4,train,"uh, no.",👎,Oppose,Oppose,High
train:27:5,train,"um, it's about this morning's incident.",💡,Explain,Explain,Low
train:27:6,train,is that when you bought your boots?,🤝,Confirm,Confirm,Low
train:28:0,train,"what i'm saying is, don't do what dina did.",📝,Inform,Inform,Low
train:28:1,train,"and while it worked out okay this time, it could have turned into serious injury, or death, or god forbid, a lawsuit.",🚨,Warn,Warn,Medium
train:28:2,train,"just stand there and make brown, like jonah?",🤡,Taunt,Taunt,High
train:28:3,train,"well, i didn't actually do anything--",💡,Explain,Explain,Low
train:28:4,train,exactly. he just sat there and watched a guy rob the store.,🤨,Criticize,Criticize,High
train:28:5,train,thank you. that is what you should all do in the future.,👍,Thank,Thank,Low
train:28:6,train,"thank you, jonah, for actually following protocol.",💛,Thank,Thank,Low
train:28:8,train,what then? do you want me to just sit there and watch someone take a baby?,😕,Doubt,Doubt,Medium
train:28:9,train,what if the baby is wearing a bomb?,🤔,Doubt,Doubt,Medium
train:28:10,train,then wouldn't you want him to steal it?,🤨,Doubt,Doubt,Medium
train:29:0,train,"oh, yeah. yeah.",👍,Agree,Agree,Low
train:29:1,train,"yes, yes. and i'm so sorry.",😔,Apologise,Apologise,Low
train:29:2,train,"you know, it just-it takes me forever to get going in the morning.",📖,Explain,Explain,Low
train:29:3,train,"i like to wake up when my body is ready, you know what i mean?",🤝,Confirm,Confirm,Low
train:29:8,train,"jerusha, how was it? i feel sick!",😤,Complain,Complain,High
train:30:1,train,this little girl won't try and stop you.,😏,Taunt,Taunt,High
train:30:2,train,i'm just--i'm gonna go pay for it.,👋,Leave,Leave,Low
train:31:0,train,hey.,😊,Greet,Greet,Low
train:31:3,train,"i don't think that's true. well, it is true.",🙅,Oppose,Oppose,High
train:31:4,train,i know it's true because i just looked it up.,💡,Explain,Explain,Low
train:31:5,train,okay.   so did he invent salad?,👌,Confirm,Confirm,Low
train:32:0,train,ken? you're--you're here.,🤔,Doubt,Doubt,Medium
train:32:2,train,"okay, um, look, maybe i wasn't clear, and that's my fault.",😔,Apologise,Apologise,Low
train:32:5,train,okay. okay.,✅,Acknowledge,Acknowledge,Low
train:32:6,train,"yes, thanks. yes, yes.",🙏,Thank,Thank,Low
train:35:1,train,you're the cool kids.,👏,Praise,Praise,Low
train:35:2,train,"oh, no. none of us get invited to that.",👎,Oppose,Oppose,High
train:35:3,train,that thing is lame anyway.,😤,Complain,Complain,High
train:35:4,train,"hey, what if we did something?",🧠,Advise,Advise,Low
train:35:5,train,yes! all right.,🤝,Agree,Agree,Low
train:35:6,train,let's do it! bowling night!,🧠,Advise,Advise,Low
train:35:8,train,yeah. maybe.,✅,Agree,Agree,Low
train:35:9,train,wow. yeah.,🤝,Agree,Agree,Low
train:35:10,train,i can't.,🙅,Oppose,Oppose,High
train:35:11,train,"um, oh. uh, no.",🙅,Oppose,Oppose,High
train:36:0,train,it's my first write-up. ever.,😎,Flaunt,Flaunt,Medium
train:36:1,train,so thank you so much for that.,👍,Thank,Thank,Low
train:36:2,train,i just came over to ask you in the most polite way possible to please clean up the spill in aisle nine.,💬,Explain,Explain,Low
train:36:3,train,i'm glad you got written up. you are a bully.,🤨,Criticize,Criticize,High
train:36:4,train,"well, i'd rather be a bully than a castrated garden gnome.",🤡,Taunt,Taunt,High
train:36:5,train,"well, who knows what's under those little pants?",🙄,Taunt,Taunt,High
train:36:6,train,"that's not the point. the point is, at least i'm not too weak to stop a simple robbery.",😏,Taunt,Taunt,High
train:36:7,train,that was an awkward situation. i could have destroyed that guy.,💡,Explain,Explain,Low
train:36:8,train,with muscles like those? come on.,🤡,Taunt,Taunt,High
train:36:9,train,"your ass? yeah, uh, obviously, i could-sure.",🤝,Agree,Agree,Low
train:36:10,train,"oh. well, then come at me.",🎉,Invite,Invite,Low
train:36:11,train,"fight, guys. jonah's fighting dina.",ℹ️,Inform,Inform,Low
train:37:0,train,bullies just need to be confronted.,📖,Explain,Explain,Low
train:37:2,train,"because if you were really a feminist, you'd punch me in the face.",🙄,Taunt,Taunt,High
train:37:6,train,just stop. this is crazy.,🚫,Prevent,Prevent,Medium
train:37:7,train,"are you okay? yeah, yeah, i'm good.",🧡,Care,Care,Low
train:45:0,train,"yeah, i got to go with the cop on this one.",👍,Agree,Agree,Low
train:45:1,train,i just want to cover it up until the coroner gets here.,💬,Explain,Explain,Low
train:45:2,train,"i know we don't specifically promise no dead bodies, but we shouldn't have to.",💬,Explain,Explain,Low
train:45:3,train,"fine, just don't go touching the body.",📢,Inform,Inform,Low
train:45:5,train,"no, i just wouldn't do that.",⛔,Oppose,Oppose,High
train:45:6,train,"uh, because i said you can't.",💡,Explain,Explain,Low
train:45:8,train,"all right, well, that should hold.",🤝,Agree,Agree,Low
train:45:9,train,is this worse?,🤨,Doubt,Doubt,Medium
train:48:0,train,like he's a dead employee.,😂,Joke,Joke,Low
train:48:1,train,no.,⛔,Oppose,Oppose,High
train:48:2,train,this is not a halloween display.,👎,Oppose,Oppose,High
train:48:6,train,that was the coroner's office.,📢,Inform,Inform,Low
train:48:8,train,"the point is, they're not gonna be here for a while.",💥,Emphasize,Emphasize,Low
train:48:9,train,"oh, come on.",😤,Complain,Complain,High
train:49:0,train,"oh, thanks.",🙏,Thank,Thank,Low
train:49:3,train,"what do we got here, the lunch police?",🤣,Joke,Joke,Low
train:49:4,train,"take me downtown, officer bumblebee.",😂,Joke,Joke,Low
train:49:5,train,"kelly, could you jump on register four?",📅,Arrange,Arrange,Low
train:49:6,train,yeah.,👌,Acknowledge,Acknowledge,Low
train:49:8,train,i guess i can eat this on the way.,🏃,Leave,Leave,Low
train:49:9,train,"yup, that's why they're made to go.",💬,Explain,Explain,Low
train:49:10,train,"uh-oh, phone police.",😂,Joke,Joke,Low
train:49:11,train,you'll never take me alive.,👋,Leave,Leave,Low
train:50:1,train,"there is something there that is extremely disturbing, and it may frighten you.",📝,Inform,Inform,Low
train:50:4,train,"please, listen to me.",📢,Inform,Inform,Low
train:50:5,train,"the housewares section is very, very scary.",📢,Inform,Inform,Low
train:50:6,train,it will give you nightmares.,🛑,Warn,Warn,Medium
train:50:7,train,turn back before it's too late.,🛑,Warn,Warn,Medium
train:50:8,train,"no. no, no.",⛔,Oppose,Oppose,High
train:50:9,train,you--you--you've been warned.,📢,Inform,Inform,Low
train:50:10,train,okay.,✅,Acknowledge,Acknowledge,Low
train:52:0,train,with sal's passport?,🤡,Taunt,Taunt,High
train:52:1,train,i am a master at make-up.,💸,Flaunt,Flaunt,Medium
train:52:2,train,"if i can make elias look like dame edna, i can make you look like sal.",😎,Flaunt,Flaunt,Medium
train:52:3,train,"wait, why did elias want to be dame edna?",🤨,Doubt,Doubt,Medium
train:52:5,train,although me just being here is illegal so it kind of cancels out.,📖,Explain,Explain,Low
train:52:6,train,i think...we should...,🤝,Agree,Agree,Low
train:52:8,train,we agreed on a kitty cat.,😤,Complain,Complain,High
train:53:0,train,she saw the match before i could get her phone.,ℹ️,Inform,Inform,Low
train:53:1,train,"oh, okay, we need to  freaky friday  this.",🤣,Joke,Joke,Low
train:53:2,train,"you need to find a cursed object, have a whirlwind romance with her, but then learn an important life lesson.",🧠,Advise,Advise,Low
train:53:4,train,she sent him a wink.,📝,Inform,Inform,Low
train:53:7,train,"yeah, as long as they never run into each other in the store they both work in.",🤝,Agree,Agree,Low
train:56:0,train,you seem good.,🛡️,Care,Care,Low
train:56:1,train,i had a bar this morning with like 20 grams of protein.,📖,Explain,Explain,Low
train:56:2,train,"no, no listen to your body.",⛔,Oppose,Oppose,High
train:56:3,train,yeah.,✅,Agree,Agree,Low
train:56:4,train,"oh, no, no, i'm fine.",👎,Oppose,Oppose,High
train:56:5,train,yes.,👍,Agree,Agree,Low
train:56:6,train,you are so strong.,🏆,Praise,Praise,Low
train:56:7,train,and i also think you are so brave.,🏆,Praise,Praise,Low
train:56:8,train,thank you.,💛,Thank,Thank,Low
train:57:0,train,so you'll have to do the make-up yourself for the trip back.,📢,Inform,Inform,Low
train:57:1,train,or you could just stay like this the whole time.,💡,Advise,Advise,Low
train:57:2,train,what? i was just saying she had really great skin.,💬,Explain,Explain,Low
train:57:5,train,that's stupid.,🤡,Taunt,Taunt,High
train:57:6,train,i just think it feels really good and firm on my tongue.,📖,Explain,Explain,Low
train:58:1,train,"yeah, i was gonna get one, but they're like a hundred bucks.",💡,Explain,Explain,Low
train:58:3,train,"thank you, governor greitens.",🙏,Thank,Thank,Low
train:58:6,train,i guess i could put it on my lawn.,☝️,Advise,Advise,Low
train:58:8,train,"chuck, what are you doing?",🧡,Care,Care,Low
train:60:0,train,how could i humiliate you?,😕,Doubt,Doubt,Medium
train:60:1,train,i barely talk to you.,📖,Explain,Explain,Low
train:60:2,train,"hey, guys.",✨,Greet,Greet,Low
train:60:4,train,"you know what, kelly, i feel like i cut your break short.",😔,Apologise,Apologise,Low
train:60:5,train,this guy's playing mind games with me all day.,🤨,Criticize,Criticize,High
train:60:6,train,i would never do that.,🙅,Oppose,Oppose,High
train:60:7,train,i'm an ally.,💥,Emphasize,Emphasize,Low
train:60:9,train,i never texted you.,⛔,Oppose,Oppose,High
train:60:10,train,stop lying!,⚠️,Prevent,Prevent,Medium
train:60:11,train,it was me. i did it.,💬,Explain,Explain,Low
train:60:12,train,"i took jonah's phone, and i was messing around.",💬,Explain,Explain,Low
train:60:13,train,"and i accidently swiped right, and i just couldn't stop myself.",📖,Explain,Explain,Low
train:60:14,train,and garrett had something to do with it too.,📝,Inform,Inform,Low
train:61:0,train,"uh, you know, it's fine.",💛,Comfort,Comfort,Low
train:61:3,train,i'm sorry.,🙏,Apologise,Apologise,Low
train:61:4,train,"oh, god. uh...",🏃,Leave,Leave,Low
train:62:0,train,you look adorable.,👏,Praise,Praise,Low
train:62:1,train,"okay, here. take it.",🗓️,Arrange,Arrange,Low
train:62:2,train,"destroy it, douse it with holy water, and set it on fire.",⏰,Arrange,Arrange,Low
train:62:4,train,"i'm not going, okay?",⛔,Oppose,Oppose,High
train:62:5,train,it's not worth it.,🙄,Complain,Complain,High
train:62:6,train,i don't like what's happening to me.,😮‍💨,Complain,Complain,High
train:62:7,train,i need to wash this all off before it's too late.,👋,Leave,Leave,Low
train:65:0,train,"hey. dina, is something wrong?",🧡,Care,Care,Low
train:65:1,train,you know the rules. no religious crap in the store.,😑,Criticize,Criticize,High
train:65:3,train,this is just a winter barn display.,🤝,Introduce,Introduce,Low
train:65:4,train,with a baby jesus and three wise men?,🤡,Taunt,Taunt,High
train:65:5,train,that is a normal barn baby and three men of average intelligence.,👋,Introduce,Introduce,Low
train:65:6,train,"oh, wow. well, i feel foolish.",🤡,Taunt,Taunt,High
train:65:7,train,i can't believe that i thought this guy was a wise man.,🤡,Taunt,Taunt,High
train:65:8,train,you're not that stupid.,⛔,Oppose,Oppose,High
train:65:9,train,"i mean, i guess if this was someone from the bible, you'd probably be pretty upset if i did this.",💡,Explain,Explain,Low
train:65:13,train,"wait, give me that! that's baby jesus!",⚠️,Prevent,Prevent,Medium
train:69:0,train,"oh, great.",🏆,Praise,Praise,Low
train:69:1,train,"narc alert. oh, it's the fun police.",🙄,Taunt,Taunt,High
train:69:3,train,"i mean, it's nothing personal, but--",📖,Explain,Explain,Low
train:69:4,train,"yeah, you just always act all lame and stuff.",🤨,Criticize,Criticize,High
train:69:6,train,that was the tiniest sip i've ever seen.,🙄,Taunt,Taunt,High
train:69:7,train,"i mean, now you're just stealing my alcohol.",😑,Criticize,Criticize,High
train:70:0,train,"oh, hey, man. merry christmas.",👋,Greet,Greet,Low
train:70:1,train,"oh, wow. thank you, garrett.",👍,Thank,Thank,Low
train:70:3,train,"and i guess, you know, when you work with someone you also live with, things can be a little-oh, is that a-is this a bath mat?",👌,Confirm,Confirm,Low
train:70:4,train,"yeah, i just figured it'd be something you could use based on the puddles by the shower.",📖,Explain,Explain,Low
train:70:8,train,or you could save some money and just quit it with the harmonica lessons on youtube.,🧠,Advise,Advise,Low
train:70:9,train,"yeah, it would be. mm-hmm. yeah.",👍,Agree,Agree,Low
train:72:0,train,which is why i lay my shoes on their side so that the soles don't touch the fabric.,📖,Explain,Explain,Low
train:72:1,train,"oh, you know, i think you're working too hard.",😏,Taunt,Taunt,High
train:72:2,train,why don't you just take off your shoes?,☝️,Advise,Advise,Low
train:72:3,train,"there's a dad here with his kid, asking where the store santa is.",📝,Inform,Inform,Low
train:72:4,train,tell him to check the drunk tank.,🗓️,Arrange,Arrange,Low
train:72:6,train,"guys, they drove an hour to get here.",📝,Inform,Inform,Low
train:73:0,train,"glenn, it's not like i hate christmas or anything.",💬,Explain,Explain,Low
train:73:1,train,"so  winter wonderland  is okay, and-you want to see what christmas is all about?",🎉,Invite,Invite,Low
train:73:3,train,"sorry, we're making up for lost time.",💬,Explain,Explain,Low
train:73:4,train,"oh, no, no, no. kiss away.",⛔,Oppose,Oppose,High
train:73:6,train,"oh, there won't be a next tour.",⛔,Oppose,Oppose,High
train:73:8,train,"okay, i was smoking something i did not know was meth.",💬,Explain,Explain,Low
train:73:9,train,"hey, uh, thank you for your service.",🙏,Thank,Thank,Low
train:73:11,train,there's cocoa in aisle nine.,📢,Inform,Inform,Low
train:74:0,train,"i mean, it's just-it's messed up.",🙄,Complain,Complain,High
train:74:1,train,i'm just gonna say it. men are from mars.,😏,Taunt,Taunt,High
train:74:5,train,yeah. that's exactly what i was thinking.,🤝,Agree,Agree,Low
train:74:6,train,"no. no, no, no, no, no, no. you should not go over there.",⚠️,Prevent,Prevent,Medium
train:74:7,train,we should all go over there.,☝️,Advise,Advise,Low
train:74:8,train,"yeah, just always assume we're talking about bridgett's house.",🤝,Agree,Agree,Low
train:74:9,train,because i try not to drive if i've had more than six.,📖,Explain,Explain,Low
train:74:10,train,"oh, yeah, i should not be getting behind the wheel of a car right now.",👍,Agree,Agree,Low
train:75:1,train,i'm gonna do this. i'm gonna go knock on the door.,📅,Plan,Plan,Low
train:75:4,train,"oh, my god. this is a mistake.",😤,Complain,Complain,High
train:75:5,train,but not today.,👎,Oppose,Oppose,High
train:75:6,train,"oh, no, no, no. today's gonna be a mess.",⛔,Oppose,Oppose,High
train:75:7,train,we got to go. we got to go.,🚪,Leave,Leave,Low
train:75:8,train,"oh, my god. my battery's dead.",🙄,Complain,Complain,High
train:75:11,train,is that you?,✅,Confirm,Confirm,Low
train:77:0,train,"yeah, yeah. fine.",✅,Agree,Agree,Low
train:77:1,train,"okay, 'cause you look a little bit like a disgruntled keebler elf about to shoot up the tree house.",😜,Joke,Joke,Low
train:77:2,train,"it's just--it's like he wants to be mad at me, so he just comes up with these little excuses.",🙄,Complain,Complain,High
train:77:3,train,"you know, like, he'll-he'll take the trash out when it's half full just so he can be like,  there's another thing jonah didn't do.    i only take my trash out when it topples over like a jenga tower.",🙄,Complain,Complain,High
train:77:4,train,right? thank you. maybe we should be roommates.,👍,Thank,Thank,Low
train:79:0,train,i told you guys. i am a psycho.,ℹ️,Inform,Inform,Low
train:79:1,train,"oh, yeah, you got to let craymie out more often.",💡,Advise,Advise,Low
train:79:2,train,"i'm gonna crash elsewhere tonight, so...",📝,Inform,Inform,Low
train:79:4,train,"okay, thanks.",🙏,Thank,Thank,Low
train:79:6,train,"i'll just--i'll just drop a pin and text it to you, then.",🗺️,Plan,Plan,Low
train:79:7,train,okay.,✅,Agree,Agree,Low
train:79:8,train,"well, i think i finally figured out these christmas lights.",ℹ️,Inform,Inform,Low
train:79:10,train,yeah. super lame.,👍,Agree,Agree,Low
train:81:1,train,"uh, there's been an unfortunate incident we need to discuss.",ℹ️,Inform,Inform,Low
train:81:2,train,"oh, wait, hold up. what are we working with here?",🤨,Doubt,Doubt,Medium
train:81:3,train,is that a-a snake or a lightning bolt?,🤝,Confirm,Confirm,Low
train:81:4,train,this is not what i'm here-it's a guitar.,📖,Explain,Explain,Low
train:81:5,train,an electric guitar.,📛,Introduce,Introduce,Low
train:81:6,train,"anyway, roger from the café, as most of you may have heard, has been let go, uh, for releasing a facebook video in which he was behaving in a manner that cloud 9 does not condone.",ℹ️,Inform,Inform,Low
